pickup_datetime,duration,pickup_x,pickup_y,dropoff_x,dropoff_y,weekday,hour_,day_,distance,month_,speed
"2034-05-21 17:10:20",1078,153,343,148,305,1,17,21,38,5,127
"2034-06-26 18:55:39",1809,114,448,150,330,2,18,26,123,6,245
"2034-04-18 07:21:08",374,151,352,153,345,3,7,18,7,4,67
"2034-03-16 13:11:51",934,155,325,153,340,5,13,16,15,3,58
"2034-03-14 11:28:31",375,155,332,149,330,3,11,14,6,3,58
"2034-04-06 13:52:49",991,158,376,125,293,5,13,6,89,4,323
"2034-02-11 18:50:18",985,150,345,179,381,7,18,11,46,2,168
"2034-03-06 13:29:48",575,151,332,129,329,2,13,6,22,3,138
"2034-04-12 20:01:17",568,154,334,153,361,4,20,12,27,4,171
"2034-06-13 21:38:12",397,154,316,163,338,3,21,13,24,6,218
"2034-02-13 00:29:00",198,136,322,144,314,2,0,13,11,2,200
"2034-04-21 21:12:45",456,162,333,151,333,6,21,21,11,4,87
"2034-01-24 17:29:26",1427,169,367,141,333,3,17,24,44,1,111
"2034-04-21 11:46:54",258,150,323,143,317,6,11,21,9,4,126
"2034-06-20 17:37:13",684,154,324,134,333,3,17,20,22,6,116
"2034-04-13 23:20:20",372,153,310,150,327,5,23,13,17,4,165
"2034-05-12 18:18:37",869,155,345,150,333,6,18,12,13,5,54
"2034-03-27 04:40:51",493,133,316,154,325,2,4,27,23,3,168
"2034-01-28 18:33:28",502,152,332,138,320,7,18,28,18,1,129
"2034-01-27 17:47:32",504,145,335,146,316,6,17,27,19,1,136
"2034-03-25 09:11:51",978,160,353,193,376,7,9,25,40,3,147
"2034-03-02 12:10:20",51,163,335,165,339,5,12,2,4,3,282
"2034-04-09 22:45:30",303,144,339,135,318,1,22,9,23,4,273
"2034-01-14 00:46:31",640,156,340,153,368,7,0,14,28,1,158
"2034-06-03 22:08:33",538,188,371,205,400,7,22,3,34,6,228
"2034-05-29 12:49:22",451,175,346,186,364,2,12,29,21,5,168
"2034-02-14 16:23:56",1320,161,363,124,292,3,16,14,80,2,218
"2034-06-01 21:25:56",413,129,285,126,290,5,21,1,6,6,52
"2034-04-23 20:56:23",659,138,320,123,300,1,20,23,25,4,137
"2034-01-18 17:12:40",186,126,325,127,320,4,17,18,5,1,97
"2034-06-26 02:36:58",409,103,335,111,338,2,2,26,9,6,79
"2034-06-11 22:50:42",542,123,291,138,307,1,22,11,22,6,146
"2034-06-05 17:34:26",2294,114,447,121,290,2,17,5,157,6,246
"2034-01-24 07:59:24",310,152,324,145,325,3,7,24,7,1,81
"2034-06-04 22:17:46",1445,160,314,97,306,1,22,4,64,6,159
"2034-04-13 04:04:18",530,149,342,162,379,5,4,13,39,4,265
"2034-01-27 10:19:27",880,164,362,146,332,6,10,27,35,1,143
"2034-01-15 10:52:09",730,135,399,193,385,1,10,15,60,1,296
"2034-02-05 00:28:17",367,128,303,126,286,1,0,5,17,2,167
"2034-06-15 00:49:31",400,156,362,138,324,5,0,15,42,6,378
"2034-03-31 17:51:25",833,129,285,161,332,6,17,31,57,3,246
"2034-06-02 03:09:57",316,152,346,162,326,6,3,2,22,6,251
"2034-07-11 00:39:13",472,133,287,152,308,3,0,11,28,7,214
"2034-05-17 17:06:11",843,152,340,134,323,4,17,17,25,5,107
"2034-01-22 13:44:33",1368,177,349,144,327,1,13,22,40,1,105
"2034-03-08 07:46:09",291,164,370,160,378,4,7,8,9,3,111
"2034-01-31 19:51:31",486,141,334,121,288,3,19,31,50,1,370
"2034-03-05 15:54:23",725,177,356,152,367,1,15,5,27,3,134
"2034-05-25 19:35:28",481,148,342,161,368,5,19,25,29,5,217
"2034-02-23 14:05:22",737,150,317,133,303,5,14,23,22,2,107
"2034-04-15 15:46:51",162,144,311,142,315,7,15,15,4,4,89
"2034-07-08 22:45:35",257,155,325,144,306,7,22,8,22,7,308
"2034-06-13 09:11:16",378,149,354,162,344,3,9,13,16,6,152
