pickup_datetime,duration,pickup_x,pickup_y,dropoff_x,dropoff_y,weekday,hour_,day_,distance,Month_
"2034-04-26 09:17:24",247,169,343,168,339,4,9,26,4,4
"2034-02-02 17:18:01",319,171,332,158,338,5,17,2,14,2
"2034-03-30 08:08:22",581,160,380,183,379,5,8,30,23,3
"2034-03-18 02:49:29",143,150,350,138,329,7,2,18,24,3
"2034-01-30 15:52:55",650,153,340,161,364,2,15,30,25,1
"2034-02-16 10:18:19",396,161,360,156,351,5,10,16,10,2
"2034-06-22 07:34:30",633,151,364,124,294,5,7,22,75,6
"2034-04-01 14:09:16",270,153,351,160,366,7,14,1,17,4
"2034-06-20 07:32:57",942,130,293,160,338,3,7,20,54,6
"2034-06-22 22:33:02",321,144,307,152,325,5,22,22,20,6
"2034-01-20 11:16:36",970,140,316,155,322,6,11,20,16,1
"2034-02-10 10:50:24",599,153,373,152,350,6,10,10,23,2
"2034-04-12 07:18:22",1455,117,446,145,341,4,7,12,109,4
"2034-06-09 16:03:08",323,148,311,156,315,6,16,9,9,6
"2034-05-27 15:15:19",1461,137,301,145,331,7,15,27,31,5
"2034-04-10 09:09:43",636,158,362,122,352,2,9,10,37,4
"2034-01-17 10:48:00",180,157,323,159,328,3,10,17,5,1
"2034-04-01 17:12:02",485,127,317,144,307,7,17,1,20,4
"2034-06-12 16:31:59",329,163,373,152,369,2,16,12,12,6
"2034-06-08 22:38:22",2051,167,341,58,229,5,22,8,156,6
"2034-02-26 11:14:13",2431,166,321,124,201,1,11,26,127,2
"2034-03-30 08:03:50",1102,152,321,181,359,5,8,30,48,3
"2034-03-30 05:48:52",493,181,371,160,352,5,5,30,28,3
"2034-07-03 01:22:33",837,165,332,153,306,2,1,3,29,7
"2034-06-28 08:35:40",1957,122,441,173,349,4,8,28,105,6
"2034-05-31 09:03:08",1003,162,314,122,285,4,9,31,49,5
"2034-04-20 22:13:59",1284,160,335,122,309,5,22,20,46,4
"2034-06-01 21:47:18",1053,174,356,141,339,5,21,1,37,6
"2034-02-15 17:17:48",513,144,326,152,309,4,17,15,19,2
"2034-01-23 01:35:56",827,128,309,56,238,2,1,23,101,1
"2034-06-06 12:54:07",646,180,362,156,362,3,12,6,24,6
"2034-05-14 10:25:42",255,156,322,168,321,1,10,14,12,5
"2034-04-14 21:54:05",519,113,348,99,297,6,21,14,53,4
"2034-01-26 14:48:53",960,154,375,161,339,5,14,26,37,1
"2034-05-28 17:51:22",1915,148,328,-30,455,1,17,28,219,5
"2034-02-04 07:35:23",436,157,351,145,333,7,7,4,22,2
"2034-06-16 18:33:58",832,165,338,160,311,6,18,16,27,6
"2034-02-22 20:40:39",208,154,354,163,370,4,20,22,18,2
"2034-04-08 11:22:08",1075,160,335,130,290,7,11,8,54,4
"2034-01-31 13:21:34",308,132,310,142,315,3,13,31,11,1
"2034-04-08 08:33:55",562,172,344,149,351,7,8,8,24,4
"2034-02-03 21:35:03",472,150,324,133,311,6,21,3,21,2
"2034-02-24 20:43:15",229,157,324,168,319,6,20,24,12,2
"2034-01-30 23:37:22",1109,143,305,184,361,2,23,30,69,1
"2034-04-30 15:00:44",304,175,346,157,345,1,15,30,18,4
