pickup_datetime,duration,pickup_x,pickup_y,dropoff_x,dropoff_y,weekday,hour_,day_,distance,Month_
"2034-05-02 16:37:56",589,152,341,165,369,3,16,2,31,5
"2034-03-23 13:01:42",762,150,345,156,350,5,13,23,8,3
"2034-04-27 17:15:17",1347,159,311,151,341,5,17,27,31,4
"2034-07-06 16:14:25",752,143,325,147,340,5,16,6,16,7
"2034-02-28 09:59:22",243,149,319,142,326,3,9,28,10,2
"2034-03-07 22:15:12",1040,150,332,116,384,3,22,7,62,3
"2034-05-25 08:55:36",956,157,374,144,323,5,8,25,53,5
"2034-05-30 13:08:42",290,156,353,150,345,3,13,30,10,5
"2034-05-17 07:55:04",1031,172,377,109,408,4,7,17,70,5
"2034-01-29 10:29:11",381,163,368,153,345,1,10,29,25,1
"2034-05-21 22:42:56",403,138,322,145,309,1,22,21,15,5
"2034-05-15 20:24:32",293,164,337,155,314,2,20,15,25,5
"2034-05-30 12:23:25",1029,160,358,168,337,3,12,30,22,5
"2034-04-28 07:56:43",109,143,325,137,329,6,7,28,7,4
"2034-03-05 18:28:13",181,156,354,149,341,1,18,5,15,3
"2034-04-07 23:14:37",848,92,322,56,369,6,23,7,59,4
"2034-02-11 14:11:59",711,179,346,164,341,7,14,11,16,2
"2034-02-18 14:17:07",457,150,346,157,365,7,14,18,20,2
"2034-03-31 12:25:23",434,124,291,111,303,6,12,31,18,3
"2034-04-13 06:48:01",571,155,371,120,283,5,6,13,95,4
"2034-06-03 11:23:20",349,166,341,176,337,7,11,3,11,6
"2034-01-25 18:57:55",653,151,337,150,324,4,18,25,13,1
"2034-05-15 00:26:32",790,154,324,153,348,2,0,15,24,5
"2034-04-08 09:08:03",1513,-36,468,51,308,7,9,8,182,4
"2034-05-17 13:19:57",288,167,341,174,351,4,13,17,12,5
"2034-03-20 17:03:05",653,147,317,149,341,2,17,20,24,3
"2034-07-08 23:03:07",318,150,309,149,324,7,23,8,15,7
"2034-05-22 05:10:19",1486,166,329,235,504,2,5,22,188,5
"2034-06-28 15:38:39",1311,152,342,180,350,4,15,28,29,6
"2034-07-07 13:40:10",309,131,304,141,299,6,13,7,11,7
"2034-01-26 20:15:54",585,151,307,132,315,5,20,26,21,1
"2034-04-05 20:51:13",867,130,309,168,399,4,20,5,98,4
"2034-05-17 00:40:56",440,127,314,152,308,4,0,17,26,5
"2034-07-03 14:43:53",78,160,309,158,307,2,14,3,3,7
"2034-05-24 10:23:46",351,144,327,151,321,4,10,24,9,5
"2034-04-12 01:58:14",856,123,439,223,426,4,1,12,101,4
"2034-03-28 05:56:49",193,148,311,152,309,3,5,28,4,3
"2034-06-04 13:02:51",675,152,321,134,319,1,13,4,18,6
"2034-04-14 07:49:03",149,187,383,184,390,6,7,14,8,4
"2034-02-25 20:55:59",458,146,343,134,320,7,20,25,26,2
"2034-03-30 19:24:38",998,130,311,159,328,5,19,30,34,3
"2034-01-26 14:09:11",264,175,384,184,377,5,14,26,11,1
"2034-04-02 19:43:13",114,158,325,158,325,1,19,2,0,4
"2034-03-25 15:22:53",858,175,346,162,369,7,15,25,26,3
"2034-05-09 08:20:00",1092,121,289,152,366,3,8,9,83,5
"2034-05-21 19:37:56",232,153,351,159,368,1,19,21,18,5
"2034-03-30 15:20:38",351,150,343,141,324,5,15,30,21,3
"2034-01-29 20:22:51",150,168,377,164,384,1,20,29,8,1
"2034-05-23 19:01:40",146,163,361,167,373,3,19,23,13,5
"2034-01-27 13:14:27",259,151,338,154,343,6,13,27,6,1
"2034-03-28 22:38:34",454,154,346,151,326,3,22,28,20,3
"2034-02-16 08:14:43",963,123,288,150,363,5,8,16,80,2
"2034-07-01 20:08:17",622,130,327,153,306,7,20,1,31,7
"2034-02-20 00:46:17",308,167,337,154,321,2,0,20,21,2
"2034-02-04 10:39:36",2309,121,443,141,309,7,10,4,135,2
"2034-06-08 15:50:31",152,144,327,140,320,5,15,8,8,6
"2034-06-03 22:57:16",743,139,334,162,321,7,22,3,26,6
"2034-07-08 21:46:30",240,160,336,158,335,7,21,8,2,7
"2034-04-28 17:53:32",797,157,349,144,328,6,17,28,25,4
"2034-03-29 08:58:48",1087,145,312,159,344,4,8,29,35,3
"2034-01-22 01:37:33",1062,150,337,142,474,1,1,22,137,1
"2034-02-06 20:38:28",200,148,340,142,334,2,20,6,8,2
"2034-02-08 23:53:02",349,121,286,123,308,4,23,8,22,2
"2034-03-27 14:08:42",373,156,314,164,325,2,14,27,14,3
"2034-04-19 06:26:27",148,151,326,150,333,4,6,19,7,4
"2034-06-03 00:27:50",907,184,357,132,297,7,0,3,79,6
"2034-05-25 12:37:46",706,177,357,174,337,5,12,25,20,5
"2034-03-03 19:50:42",858,134,305,148,324,6,19,3,24,3
"2034-04-06 16:41:47",1483,147,317,120,345,5,16,6,39,4
"2034-06-06 08:25:36",377,159,353,149,363,3,8,6,14,6
"2034-06-08 14:16:53",1872,162,365,144,327,5,14,8,42,6
"2034-01-16 22:31:14",1762,149,321,88,319,2,22,16,61,1
"2034-03-27 11:32:54",197,135,293,144,297,2,11,27,10,3
"2034-05-09 13:42:03",541,179,350,161,364,3,13,9,23,5
"2034-04-02 22:39:06",197,126,311,131,320,1,22,2,10,4
"2034-04-02 20:49:37",429,143,323,148,353,1,20,2,30,4
"2034-05-27 21:06:13",302,177,357,185,371,7,21,27,16,5
"2034-06-11 03:02:02",1255,139,307,137,386,1,3,11,79,6
"2034-06-22 22:08:17",1080,150,321,123,284,5,22,22,46,6
"2034-06-24 19:38:02",991,146,343,141,296,7,19,24,47,6
"2034-02-14 20:15:17",135,153,347,148,340,3,20,14,9,2
"2034-02-27 11:22:32",423,169,336,173,357,2,11,27,21,2
"2034-03-12 07:45:21",692,103,335,134,309,1,7,12,40,3
"2034-06-09 07:46:10",143,146,333,143,324,6,7,9,9,6
"2034-03-31 08:31:11",672,146,329,157,326,6,8,31,11,3
"2034-03-09 14:18:53",224,162,372,156,364,5,14,9,10,3
"2034-04-16 06:37:31",924,-35,464,89,443,1,6,16,126,4
"2034-04-02 01:32:24",233,130,327,140,338,1,1,2,15,4
"2034-02-27 02:10:51",346,156,321,152,315,2,2,27,7,2
"2034-01-19 20:16:11",887,149,336,177,363,5,20,19,39,1
"2034-06-28 20:02:42",1790,121,443,221,425,4,20,28,102,6
"2034-02-28 17:40:32",705,160,342,156,361,3,17,28,19,2
"2034-05-07 20:37:21",71,158,366,153,358,1,20,7,9,5
"2034-06-17 18:47:28",1226,135,298,162,340,7,18,17,50,6
"2034-01-23 17:16:08",1979,113,340,-35,460,2,17,23,191,1
"2034-05-13 19:37:38",1021,150,324,162,374,7,19,13,51,5
"2034-04-17 04:21:08",250,172,393,161,378,2,4,17,19,4
"2034-02-19 20:39:20",290,156,358,156,346,1,20,19,12,2
"2034-02-03 17:56:14",1012,188,368,167,338,6,17,3,37,2
"2034-02-23 09:20:32",311,156,327,144,319,5,9,23,14,2
"2034-05-14 22:16:25",635,80,321,59,354,1,22,14,39,5
"2034-03-15 11:34:09",1257,186,363,183,360,4,11,15,4,3
"2034-02-23 17:30:58",941,170,334,134,304,5,17,23,47,2
"2034-01-20 14:53:09",670,170,343,149,329,6,14,20,25,1
"2034-03-17 17:04:24",1998,164,339,114,446,6,17,17,118,3
"2034-06-07 14:52:54",1057,157,323,151,342,4,14,7,20,6
"2034-05-01 19:57:07",393,141,313,148,325,2,19,1,14,5
"2034-05-11 19:23:53",234,157,348,152,361,5,19,11,14,5
"2034-03-22 10:12:43",964,158,339,179,360,4,10,22,30,3
"2034-02-18 17:53:46",370,159,347,172,343,7,17,18,14,2
"2034-05-06 19:28:40",877,154,331,124,311,7,19,6,36,5
"2034-03-18 11:33:16",628,166,382,175,360,7,11,18,24,3
"2034-03-03 09:13:59",525,173,344,155,342,6,9,3,18,3
"2034-01-17 20:28:15",400,161,372,153,372,3,20,17,8,1
"2034-05-22 02:27:55",811,154,365,179,344,2,2,22,33,5
"2034-07-04 10:27:36",1379,177,349,157,342,3,10,4,21,7
"2034-03-01 17:32:36",265,167,372,163,365,4,17,1,8,3
"2034-03-23 08:11:21",692,200,389,176,398,5,8,23,26,3
"2034-04-29 14:21:31",709,110,306,132,288,7,14,29,28,4
"2034-03-26 16:32:53",80,150,323,152,322,1,16,26,2,3
"2034-03-17 21:18:15",896,131,324,99,354,6,21,17,44,3
"2034-05-05 21:04:15",535,155,323,157,337,6,21,5,14,5
"2034-02-09 08:07:19",824,154,364,176,361,5,8,9,22,2
"2034-06-21 21:00:26",468,151,341,133,318,4,21,21,29,6
"2034-03-23 18:50:37",265,166,378,172,378,5,18,23,6,3
"2034-01-18 09:23:25",1036,150,308,148,336,4,9,18,28,1
"2034-06-22 16:12:59",1369,178,349,156,354,5,16,22,23,6
"2034-06-13 00:31:58",808,141,308,169,332,3,0,13,37,6
"2034-02-10 21:54:24",1250,121,286,35,246,6,21,10,95,2
"2034-02-17 20:40:46",647,148,319,161,341,6,20,17,26,2
"2034-04-06 07:53:56",805,159,374,153,337,5,7,6,37,4
"2034-06-26 22:50:45",1172,113,448,159,331,2,22,26,126,6
"2034-06-21 16:18:44",210,165,364,164,369,4,16,21,5,6
"2034-01-24 14:08:51",263,138,320,132,330,3,14,24,12,1
"2034-03-11 03:32:05",345,144,310,126,325,7,3,11,23,3
"2034-04-18 16:57:09",256,167,342,173,345,3,16,18,7,4
"2034-03-29 07:15:11",854,182,420,189,391,4,7,29,30,3
"2034-04-15 20:28:50",492,142,335,135,316,7,20,15,20,4
"2034-02-14 05:56:28",264,163,342,148,358,3,5,14,22,2
"2034-06-03 22:25:58",788,150,341,154,323,7,22,3,18,6
"2034-07-14 23:47:29",249,143,323,148,321,6,23,14,5,7
"2034-03-17 17:19:51",539,139,318,147,320,6,17,17,8,3
"2034-06-28 07:43:34",551,154,374,121,285,4,7,28,95,6
"2034-05-22 01:57:23",310,146,304,146,304,2,1,22,0,5
"2034-05-31 18:57:04",466,164,338,178,349,4,18,31,18,5
"2034-04-25 21:52:55",904,140,301,175,355,3,21,25,64,4
"2034-04-02 12:11:34",1036,150,347,125,301,1,12,2,52,4
"2034-05-16 10:53:43",497,154,364,156,351,3,10,16,13,5
"2034-01-20 15:52:04",464,135,296,132,306,6,15,20,10,1
"2034-05-21 20:35:18",1011,142,340,151,306,1,20,21,35,5
"2034-04-22 22:24:31",881,148,352,151,308,7,22,22,44,4
"2034-01-25 00:06:51",465,150,342,179,361,4,0,25,35,1
"2034-06-30 12:21:24",696,164,336,154,339,6,12,30,10,6
"2034-04-03 21:52:56",719,198,383,191,401,2,21,3,19,4
"2034-05-01 12:51:46",2171,-34,465,152,330,2,12,1,230,5
"2034-05-08 09:59:38",933,129,309,152,342,2,9,8,40,5
"2034-05-14 15:39:51",77,148,319,148,319,1,15,14,0,5
"2034-07-06 20:15:01",611,161,331,154,359,5,20,6,29,7
"2034-02-09 12:59:21",1216,158,319,168,334,5,12,9,18,2
"2034-05-18 20:28:29",360,133,287,147,309,5,20,18,26,5
"2034-01-22 22:28:36",865,172,344,159,314,1,22,22,33,1
"2034-07-06 12:27:58",2446,122,441,156,331,5,12,6,115,7
"2034-02-15 21:36:12",1300,164,326,109,295,4,21,15,63,2
"2034-04-07 08:16:17",3148,-29,458,144,338,6,8,7,211,4
"2034-03-12 20:05:46",618,155,307,145,336,1,20,12,31,3
"2034-02-12 14:13:50",666,157,323,158,337,1,14,12,14,2
"2034-06-23 19:05:50",881,154,324,156,334,6,19,23,10,6
"2034-01-23 20:30:36",539,163,342,143,319,2,20,23,30,1
"2034-03-22 18:02:21",389,150,334,153,324,4,18,22,10,3
"2034-05-09 12:16:55",1436,122,441,158,333,3,12,9,114,5
"2034-04-30 13:21:31",1430,156,329,101,279,1,13,30,74,4
"2034-06-02 21:51:51",803,200,387,169,481,6,21,2,99,6
"2034-03-24 21:43:31",1934,-30,464,161,337,6,21,24,229,3
"2034-03-08 11:38:30",483,166,320,157,328,4,11,8,12,3
"2034-02-16 12:33:16",515,159,378,159,365,5,12,16,13,2
"2034-05-02 14:47:34",965,155,323,171,349,3,14,2,31,5
"2034-05-28 19:07:33",744,127,429,95,459,1,19,28,44,5
"2034-05-14 01:03:47",874,157,352,129,313,1,1,14,48,5
"2034-04-20 00:16:15",438,141,308,125,312,5,0,20,16,4
"2034-07-08 20:15:33",541,153,305,147,325,7,20,8,21,7
"2034-05-16 09:58:28",370,161,356,173,377,3,9,16,24,5
"2034-04-24 12:23:39",478,119,381,130,398,2,12,24,20,4
"2034-03-19 12:54:34",666,140,325,158,350,1,12,19,31,3
"2034-06-05 00:39:06",363,135,294,153,306,2,0,5,22,6
"2034-05-21 14:24:13",325,151,325,158,347,1,14,21,23,5
"2034-01-22 11:56:52",298,160,346,151,338,1,11,22,12,1
"2034-05-30 17:13:35",412,154,338,142,320,3,17,30,22,5
"2034-01-26 17:57:44",504,145,305,119,288,5,17,26,31,1
"2034-02-14 20:44:51",414,146,326,148,303,3,20,14,23,2
"2034-07-08 13:26:53",779,152,306,135,304,7,13,8,17,7
"2034-07-12 16:56:03",380,159,321,146,315,4,16,12,14,7
"2034-02-08 12:57:09",1269,147,350,162,371,4,12,8,26,2
"2034-06-20 17:57:15",832,199,385,166,364,3,17,20,39,6
"2034-01-20 09:26:11",806,161,344,141,324,6,9,20,28,1
"2034-04-12 18:27:11",70,130,306,130,306,4,18,12,0,4
"2034-05-14 21:46:31",697,161,337,142,312,1,21,14,31,5
"2034-01-20 16:54:23",520,163,371,181,365,6,16,20,19,1
"2034-05-12 00:15:10",190,136,302,137,312,6,0,12,10,5
"2034-02-24 18:10:08",132,168,338,162,333,6,18,24,8,2
"2034-02-04 16:07:51",762,173,341,159,308,7,16,4,36,2
"2034-04-02 17:10:22",508,146,338,141,325,1,17,2,14,4
"2034-02-20 17:24:30",328,151,318,148,306,2,17,20,12,2
"2034-03-12 12:14:27",305,156,349,159,336,1,12,12,13,3
"2034-04-20 19:45:04",262,186,363,182,351,5,19,20,13,4
"2034-02-11 06:33:27",703,122,290,151,335,7,6,11,54,2
"2034-04-20 15:01:14",1090,141,320,155,349,5,15,20,32,4
"2034-05-20 08:24:29",1135,159,363,120,285,7,8,20,87,5
"2034-03-28 20:10:35",1788,167,340,142,394,3,20,28,60,3
"2034-06-03 22:41:33",809,167,337,153,363,7,22,3,30,6
"2034-05-26 19:30:32",789,142,322,158,367,6,19,26,48,5
"2034-04-17 19:18:50",514,128,293,128,314,2,19,17,21,4
"2034-05-12 02:15:22",555,156,351,141,401,6,2,12,52,5
"2034-05-11 13:32:05",665,152,314,158,322,5,13,11,10,5
"2034-07-10 01:10:32",227,165,325,170,327,2,1,10,5,7
"2034-05-07 22:55:51",486,140,309,130,317,1,22,7,13,5
"2034-05-03 19:36:00",387,149,348,157,334,4,19,3,16,5
"2034-03-05 17:19:56",487,130,354,129,353,1,17,5,1,3
"2034-05-17 08:43:07",588,151,344,155,339,4,8,17,6,5
"2034-03-21 22:46:34",565,142,308,164,324,3,22,21,27,3
"2034-01-21 16:20:31",337,156,353,147,339,7,16,21,17,1
"2034-06-30 08:50:25",834,144,319,131,293,6,8,30,29,6
"2034-03-15 07:11:15",219,132,378,129,386,4,7,15,9,3
"2034-02-01 21:00:51",566,160,329,181,358,4,21,1,36,2
"2034-02-07 11:25:24",752,127,327,163,380,3,11,7,64,2
"2034-05-13 05:15:43",406,183,368,151,338,7,5,13,44,5
"2034-01-31 21:16:06",164,82,329,71,333,3,21,31,12,1
"2034-04-23 01:12:00",1556,123,301,37,359,1,1,23,104,4
"2034-04-07 22:31:09",423,122,322,141,306,6,22,7,25,4
"2034-02-18 01:45:18",457,136,313,156,345,7,1,18,38,2
"2034-05-03 09:52:05",1229,149,335,121,441,4,9,3,110,5
"2034-06-11 01:44:32",195,134,314,139,308,1,1,11,8,6
"2034-07-01 23:09:08",1113,130,321,186,382,7,23,1,83,7
"2034-07-10 14:42:15",242,134,324,128,330,2,14,10,8,7
"2034-01-23 04:11:47",828,128,293,81,323,2,4,23,56,1
"2034-06-03 15:37:33",806,127,294,130,320,7,15,3,26,6
"2034-07-03 13:42:39",407,152,336,163,325,2,13,3,16,7
"2034-03-21 21:27:32",931,138,298,161,354,3,21,21,61,3
"2034-03-07 12:05:01",21,179,357,178,356,3,12,7,1,3
"2034-02-16 17:20:45",703,149,322,156,336,5,17,16,16,2
"2034-03-23 22:00:44",1419,146,354,171,484,5,22,23,132,3
"2034-06-17 11:56:21",189,157,358,163,372,7,11,17,15,6
"2034-02-14 08:59:12",1171,148,338,147,338,3,8,14,1,2
"2034-04-09 21:57:07",693,135,318,135,335,1,21,9,17,4
"2034-07-11 08:03:37",687,155,325,152,336,3,8,11,11,7
"2034-05-05 10:38:31",277,164,369,159,362,6,10,5,9,5
"2034-03-19 02:11:27",503,147,311,122,292,1,2,19,31,3
"2034-05-12 15:25:40",1033,160,344,150,362,6,15,12,21,5
"2034-06-06 07:38:01",528,130,293,163,310,3,7,6,37,6
"2034-05-22 21:19:14",467,152,340,152,353,2,21,22,13,5
"2034-04-25 05:19:02",54,160,322,156,315,3,5,25,8,4
"2034-02-19 23:39:32",461,180,369,154,366,1,23,19,26,2
"2034-05-25 12:11:41",513,165,368,159,361,5,12,25,9,5
"2034-04-07 10:28:24",977,137,309,125,287,6,10,7,25,4
"2034-04-23 15:09:38",298,159,345,153,364,1,15,23,20,4
"2034-03-20 23:09:37",310,158,348,148,355,2,23,20,12,3
"2034-03-31 07:54:47",191,182,366,175,358,6,7,31,11,3
"2034-06-10 20:05:13",1485,149,320,74,493,7,20,10,189,6
"2034-05-23 11:08:15",1004,162,314,165,340,3,11,23,26,5
"2034-03-17 08:41:02",316,149,349,142,337,6,8,17,14,3
"2034-01-14 08:11:10",191,158,312,161,331,7,8,14,19,1
"2034-06-19 04:24:37",1192,154,306,167,390,2,4,19,85,6
"2034-04-24 12:45:47",1031,121,443,182,359,2,12,24,104,4
"2034-01-29 21:18:20",262,147,304,140,312,1,21,29,11,1
"2034-04-01 09:50:44",1296,166,334,155,373,7,9,1,41,4
"2034-01-28 21:32:40",147,158,366,151,358,7,21,28,11,1
"2034-01-30 06:01:35",1358,136,317,189,133,2,6,30,191,1
"2034-02-15 18:03:39",438,155,325,145,339,4,18,15,17,2
"2034-01-17 18:36:34",579,172,345,152,357,3,18,17,23,1
"2034-04-15 15:17:22",592,173,349,164,358,7,15,15,13,4
"2034-05-26 17:06:06",13,223,425,222,424,6,17,26,1,5
"2034-05-29 03:35:17",712,147,316,182,355,2,3,29,52,5
"2034-05-06 22:15:02",1399,121,443,122,284,7,22,6,159,5
"2034-01-19 18:34:54",1030,185,354,140,316,5,18,19,59,1
"2034-04-13 11:26:34",353,162,368,155,357,5,11,13,13,4
"2034-06-09 10:08:43",445,150,334,156,347,6,10,9,14,6
"2034-04-24 20:55:23",237,152,342,146,349,2,20,24,9,4
"2034-05-01 10:57:14",369,155,325,149,337,2,10,1,13,5
"2034-07-02 12:45:09",872,161,359,148,329,1,12,2,33,7
"2034-05-26 23:42:34",306,164,360,154,346,6,23,26,17,5
"2034-04-21 23:49:21",362,157,348,166,372,6,23,21,26,4
"2034-06-09 13:58:50",706,147,338,154,345,6,13,9,10,6
"2034-02-17 15:12:52",934,137,312,153,323,6,15,17,19,2
"2034-05-07 20:49:16",251,174,377,181,355,1,20,7,23,5
"2034-02-19 19:40:49",463,153,362,146,343,1,19,19,20,2
"2034-06-05 23:18:11",383,154,317,161,339,2,23,5,23,6
"2034-06-01 20:17:38",1178,150,310,189,368,5,20,1,70,6
"2034-04-15 08:06:11",751,159,379,152,350,7,8,15,30,4
"2034-01-28 17:36:38",2277,166,369,112,401,7,17,28,63,1
"2034-03-20 11:08:47",244,161,338,157,347,2,11,20,10,3
"2034-02-24 19:21:38",285,130,293,141,304,6,19,24,16,2
"2034-03-15 13:52:30",1210,148,312,125,292,4,13,15,30,3
"2034-02-28 14:42:35",245,133,292,131,298,3,14,28,6,2
"2034-02-22 08:54:17",409,158,312,144,318,4,8,22,15,2
"2034-02-04 08:56:02",611,145,313,150,341,7,8,4,28,2
"2034-04-05 13:27:12",905,156,374,153,349,4,13,5,25,4
"2034-03-31 15:04:05",921,146,338,154,323,6,15,31,17,3
"2034-06-07 20:30:50",710,130,327,120,315,4,20,7,16,6
"2034-03-23 06:14:59",349,181,354,161,336,5,6,23,27,3
"2034-02-26 12:48:51",215,179,353,173,350,1,12,26,7,2
"2034-04-08 21:49:36",1285,137,319,178,346,7,21,8,49,4
"2034-02-03 12:40:05",270,161,371,153,374,6,12,3,9,2
"2034-01-14 17:20:59",173,148,326,153,316,7,17,14,11,1
"2034-03-08 16:49:32",285,172,332,160,329,4,16,8,12,3
"2034-04-18 09:13:50",1199,183,375,213,409,3,9,18,45,4
"2034-03-12 11:37:44",472,156,374,156,354,1,11,12,20,3
"2034-04-23 02:47:04",158,137,320,142,336,1,2,23,17,4
"2034-03-14 00:12:56",199,184,356,177,344,3,0,14,14,3
"2034-01-29 16:18:30",769,162,354,148,316,1,16,29,40,1
"2034-06-25 01:58:15",733,163,335,131,324,1,1,25,34,6
"2034-01-16 21:56:08",268,157,336,152,329,2,21,16,9,1
"2034-04-23 22:13:00",614,152,307,166,333,1,22,23,30,4
"2034-03-11 00:33:28",233,158,366,164,386,7,0,11,21,3
"2034-04-13 13:11:24",874,153,337,161,379,5,13,13,43,4
"2034-03-12 00:01:07",662,152,307,131,325,1,0,12,28,3
"2034-03-01 14:08:00",3379,163,335,-30,457,4,14,1,228,3
"2034-01-27 19:28:51",703,146,327,131,300,6,19,27,31,1
"2034-02-26 12:44:27",690,148,320,121,309,1,12,26,29,2
"2034-06-04 09:07:32",424,176,354,155,357,1,9,4,21,6
"2034-06-21 20:21:47",489,158,332,138,331,4,20,21,20,6
"2034-07-06 20:36:26",607,158,312,160,333,5,20,6,21,7
"2034-07-01 16:48:42",882,161,337,148,326,7,16,1,17,7
"2034-03-26 09:52:23",466,149,340,151,360,1,9,26,20,3
"2034-06-03 13:07:56",287,176,360,171,349,7,13,3,12,6
"2034-03-22 19:26:02",1323,161,337,135,314,4,19,22,35,3
"2034-02-26 09:40:32",211,159,314,165,327,1,9,26,14,2
"2034-04-01 10:08:43",872,150,344,154,322,7,10,1,22,4
"2034-05-08 03:12:31",737,129,310,152,315,2,3,8,24,5
"2034-06-04 20:41:30",899,164,336,227,437,1,20,4,119,6
"2034-02-19 01:43:39",150,164,330,162,322,1,1,19,8,2
"2034-04-30 21:48:03",329,163,371,154,364,1,21,30,11,4
"2034-05-03 18:05:03",738,154,347,152,373,4,18,3,26,5
"2034-05-29 10:43:36",463,163,339,170,350,2,10,29,13,5
"2034-07-01 02:30:32",853,148,342,108,412,7,2,1,81,7
"2034-04-19 12:03:07",292,165,370,156,375,4,12,19,10,4
"2034-05-22 22:08:19",911,173,395,168,322,2,22,22,73,5
"2034-01-31 13:29:48",2268,155,325,-30,457,3,13,31,227,1
"2034-05-21 23:34:52",671,128,317,153,310,1,23,21,26,5
"2034-02-07 15:16:59",1389,158,358,130,298,3,15,7,66,2
"2034-03-24 23:26:05",64,148,357,148,359,6,23,24,2,3
"2034-02-11 17:39:36",1271,175,391,165,340,7,17,11,52,2
"2034-03-02 19:25:51",840,148,338,168,319,5,19,2,28,3
"2034-02-26 01:51:07",69,158,372,160,377,1,1,26,5,2
"2034-02-08 19:02:18",1774,155,332,223,420,4,19,8,111,2
"2034-03-04 11:51:12",455,166,341,151,349,7,11,4,17,3
"2034-01-29 15:04:03",1509,179,366,131,307,1,15,29,76,1
"2034-03-02 10:15:10",721,141,338,125,281,5,10,2,59,3
"2034-06-21 15:53:04",1025,151,359,121,285,4,15,21,80,6
"2034-06-30 20:51:51",643,162,339,142,330,6,20,30,22,6
"2034-03-05 14:24:49",268,145,307,131,291,1,14,5,21,3
"2034-03-26 12:50:08",844,159,312,188,366,1,12,26,61,3
"2034-04-29 08:16:24",775,175,339,154,348,7,8,29,23,4
"2034-06-21 23:33:43",1410,131,306,93,314,4,23,21,39,6
"2034-05-21 13:30:52",111,117,390,122,378,1,13,21,13,5
"2034-03-26 22:20:50",309,146,329,132,330,1,22,26,14,3
"2034-01-15 14:42:45",531,190,369,174,345,1,14,15,29,1
"2034-03-11 14:45:46",813,146,337,159,344,7,14,11,15,3
"2034-03-03 13:58:19",834,157,370,187,395,6,13,3,39,3
"2034-04-16 14:40:33",186,148,320,156,335,1,14,16,17,4
"2034-03-02 22:28:51",725,152,343,184,401,5,22,2,66,3
"2034-05-11 18:09:42",495,164,370,170,350,5,18,11,21,5
"2034-06-19 18:16:15",217,185,362,195,380,2,18,19,21,6
"2034-06-19 22:19:48",153,174,357,167,368,2,22,19,13,6
"2034-01-15 21:50:02",547,129,310,100,299,1,21,15,31,1
"2034-04-17 02:53:23",283,156,341,142,331,2,2,17,17,4
"2034-04-29 22:45:21",164,165,367,162,375,7,22,29,9,4
"2034-06-07 20:37:33",385,146,338,151,328,4,20,7,11,6
"2034-04-29 20:01:14",633,100,298,71,326,7,20,29,40,4
"2034-03-13 12:24:56",440,154,324,161,336,2,12,13,14,3
"2034-04-28 16:13:40",400,162,362,159,354,6,16,28,9,4
"2034-04-13 20:57:30",1208,148,313,110,328,5,20,13,41,4
"2034-01-20 20:05:39",349,173,348,177,364,6,20,20,16,1
"2034-06-22 00:45:43",728,102,301,60,319,5,0,22,46,6
"2034-06-14 17:14:04",2189,190,369,115,446,4,17,14,107,6
"2034-03-16 08:20:16",397,132,297,146,302,5,8,16,15,3
"2034-04-02 06:58:56",239,149,353,153,371,1,6,2,18,4
"2034-01-15 19:21:29",585,147,318,132,313,1,19,15,16,1
"2034-01-18 10:02:27",376,151,358,154,348,4,10,18,10,1
"2034-03-20 11:54:24",359,144,318,137,306,2,11,20,14,3
"2034-02-14 10:58:25",389,135,308,132,321,3,10,14,13,2
"2034-05-23 19:12:57",433,153,337,147,317,3,19,23,21,5
"2034-05-13 18:02:55",775,142,329,158,360,7,18,13,35,5
